Firm_ID;BenefitProgramPeriod;TotalSpent;TotalPurchases;AvgSpentOnTransaction
4561393;Never in program;4338776,00;9;482086,2222
1506928;Never in program;1398538,00;9;155393,1111
342884;Never in program;1192427,00;3;397475,6666
5267583;Never in program;46116,00;1;46116,00
3872698;Never in program;29005014,00;129;224845,0697
3842986;Never in program;375074,00;5;75014,80
298343;Never in program;4012009,00;104;38577,0096
1823267;Never in program;722975,00;1;722975,00
860245;Never in program;2318772,00;19;122040,6315
3491289;Never in program;761071,00;7;108724,4285
353086;Never in program;7470429,00;24;311267,875
1473531;Never in program;1102411,00;5;220482,20
1740986;Never in program;627704,00;8;78463,00
2959312;Never in program;1968352,00;27;72901,9259
1901004;Never in program;3136153,00;21;149340,619
6357126;Never in program;1108284,00;6;184714,00
4763908;Never in program;4458814,00;10;445881,40
2481077;Never in program;932332,00;3;310777,3333
2249472;Never in program;1052420,00;10;105242,00
2798660;Never in program;1391357,00;7;198765,2857
2625798;Never in program;1289917,00;4;322479,25
1541149;Never in program;440247,00;3;146749,00
334655;Never in program;18448663,00;199;92706,8492
330733;Never in program;748421,00;16;46776,3125
781874;Never in program;6478780,00;39;166122,5641
297004;Never in program;3506687,00;35;100191,0571
1712317;Never in program;5403808,00;20;270190,40
1724551;Never in program;690334,00;6;115055,6666
861584;Never in program;1126369,00;4;281592,25
3396258;Never in program;220245,00;2;110122,50
2950295;Never in program;10764483,00;194;55487,0257
4948519;Never in program;740461,00;7;105780,1428
802770;Never in program;79504,00;2;39752,00
2499260;Never in program;3087816,00;12;257318,00
2239821;Never in program;686174,00;3;228724,6666
5564963;Never in program;222395,00;4;55598,75
3484316;Never in program;1052648,00;8;131581,00
315121;Never in program;7438,00;2;3719,00
1970583;Never in program;2471115,00;38;65029,3421
4122337;Never in program;4533405,00;14;323814,6428
2471438;Never in program;438498,00;6;73083,00
3991338;Never in program;55123,00;1;55123,00
2382983;Never in program;5610243,00;49;114494,7551
2298540;Never in program;2063043,00;36;57306,75
1864496;Never in program;5646785,00;82;68863,2317
318806;Never in program;2224419,00;54;41192,9444
5969004;Never in program;79007,00;1;79007,00
3580555;Never in program;3930984,00;70;56156,9142
4872672;Never in program;3734983,00;38;98289,0263
2944779;Never in program;2252707,00;14;160907,6428
2144968;Never in program;3891928,00;7;555989,7142
7158909;Before;137272,00;2;68636,00
3981065;Never in program;36034,00;2;18017,00
58467;Never in program;26584750,00;126;210990,0793
2872463;Never in program;2821348,00;15;188089,8666
1636742;Never in program;2961738,00;11;269248,909
2937172;Never in program;265733,00;8;33216,625
7143381;Never in program;1589534,00;26;61135,923
3870221;Never in program;177437,00;2;88718,50
962332;Never in program;2002904,00;15;133526,9333
4997557;Never in program;677444,00;6;112907,3333
1155984;Never in program;1041203,00;9;115689,2222
1279139;Never in program;119962,00;2;59981,00
4098657;Never in program;343775,00;4;85943,75
1929288;Never in program;1681571,00;1;1681571,00
1621925;Never in program;130827,00;1;130827,00
142342;Never in program;1358352,00;18;75464,00
5003239;Never in program;3965244,00;40;99131,10
516096;Never in program;1629917,00;5;325983,40
2448219;Never in program;1499856,00;43;34880,372
1067352;Never in program;10199369,00;25;407974,76
642118;Never in program;3371822,00;10;337182,20
3414737;Never in program;2293160,00;11;208469,0909
981516;Never in program;1068677,00;10;106867,70
3655602;Never in program;344460,00;6;57410,00
2020782;Never in program;203284,00;4;50821,00
1305284;Never in program;35415,00;2;17707,50
1479047;Never in program;70743,00;1;70743,00
5407878;Never in program;841853,00;6;140308,8333
1850911;Never in program;3801900,00;30;126730,00
202234;Never in program;4633049,00;40;115826,225
40350;Never in program;1043930,00;13;80302,3076
4640575;Never in program;37656,00;2;18828,00
1317785;Never in program;1266939,00;6;211156,50
247948;Never in program;99107,00;2;49553,50
4812531;Never in program;3550325,00;23;154361,9565
2948245;Never in program;238926,00;3;79642,00
4022869;Never in program;73889,00;1;73889,00
1654688;Never in program;104710,00;2;52355,00
4976122;Never in program;7248143,00;59;122849,8813
8843277;Before;934520,00;4;233630,00
2409934;Never in program;595607,00;14;42543,3571
2354432;Never in program;340478,00;2;170239,00
4617072;Never in program;3346724,00;47;71206,8936
628913;Never in program;3970770,00;19;208987,8947
4116815;Never in program;2226455,00;15;148430,3333
2939228;Never in program;10746304,00;19;565594,9473
3331378;Never in program;8778114,00;8;1097264,25
3086045;Never in program;6720365,00;15;448024,3333
4792257;Never in program;4405133,00;31;142101,0645
2573608;Never in program;1852131,00;40;46303,275
1202765;Never in program;2297731,00;17;135160,647
4101435;Never in program;23719,00;1;23719,00
2939779;Never in program;278843,00;1;278843,00
4965967;Never in program;700433,00;8;87554,125
212317;Never in program;4787532,00;33;145076,7272
1568840;Never in program;184999,00;4;46249,75
4617706;Never in program;17248302,00;81;212942,00
3955458;Never in program;2721497,00;30;90716,5666
43899;Never in program;2920081,00;33;88487,303
1862257;Never in program;6636488,00;14;474034,8571
261486;Never in program;25990665,00;53;490389,9056
428839;Never in program;1709254,00;7;244179,1428
6015713;Never in program;327595,00;6;54599,1666
79345;Never in program;5462428,00;56;97543,3571
303699;Never in program;2877302,00;57;50478,9824
2180905;After;3454979,00;44;78522,25
1715090;Never in program;659921,00;14;47137,2142
2818828;Never in program;2939892,00;31;94835,2258
2102661;Never in program;938430,00;7;134061,4285
4511893;Never in program;626710,00;8;78338,75
2430458;Never in program;1926394,00;6;321065,6666
4454673;Never in program;1226848,00;14;87632,00
1370703;Never in program;1226759,00;5;245351,80
3864261;Never in program;324463,00;4;81115,75
1662183;Never in program;3381702,00;22;153713,7272
672286;Never in program;4166769,00;41;101628,5121
2409946;Never in program;610949,00;5;122189,80
1988907;Never in program;49421,00;1;49421,00
3467472;Never in program;4388483,00;67;65499,7462
4569095;Never in program;3286522,00;5;657304,40
1930822;Never in program;1314235,00;18;73013,0555
5288384;Never in program;6766812,00;34;199023,8823
3111746;Never in program;3730301,00;35;106580,0285
1230936;Never in program;3114703,00;23;135421,8695
1524655;Never in program;2331073,00;21;111003,4761
4308051;Never in program;138924,00;4;34731,00
2107768;Never in program;4215603,00;34;123988,3235
2115612;Never in program;5473804,00;40;136845,10
1199009;Never in program;2932738,00;26;112797,6153
3832208;Never in program;2876219,00;20;143810,95
4060069;Never in program;302414,00;3;100804,6666
5012363;Never in program;706691,00;9;78521,2222
2108473;Never in program;192727,00;2;96363,50
2468641;Never in program;2732012,00;25;109280,48
2231877;Never in program;5258051,00;17;309297,1176
3557964;Never in program;2545645,00;15;169709,6666
1292321;Never in program;2550933,00;56;45552,375
3826408;Never in program;2115225,00;48;44067,1875
1994719;Never in program;473223,00;2;236611,50
1806476;Never in program;25926552,00;133;194936,4812
5774955;Never in program;5856775,00;8;732096,875
2646238;Never in program;1468574,00;6;244762,3333
3912706;Before;3990412,00;15;266027,4666
2075289;Never in program;6230871,00;46;135453,7173
341906;Never in program;11368836,00;43;264391,5348
1623542;Never in program;4221597,00;42;100514,2142
673447;Never in program;5054406,00;30;168480,20
1563650;Never in program;4931154,00;14;352225,2857
105130;Never in program;10136610,00;15;675774,00
2522917;Never in program;10118692,00;6;1686448,6666
608377;Never in program;4985950,00;31;160837,0967
5014928;Never in program;1560359,00;15;104023,9333
1506738;Never in program;1216760,00;9;135195,5555
238641;Never in program;2396723,00;24;99863,4583
773775;Never in program;1432465,00;32;44764,5312
4371936;Never in program;13884,00;1;13884,00
3899156;Never in program;32035151,00;248;129173,9959
2173075;Never in program;4658574,00;55;84701,3454
3806602;Never in program;6712458,00;43;156103,6744
768497;Never in program;1144357,00;14;81739,7857
390726;Never in program;3704939,00;27;137219,9629
2334164;Never in program;10239764,00;66;155147,9393
2584929;Never in program;97189,00;1;97189,00
530470;Never in program;271173,00;2;135586,50
4086913;Never in program;418294,00;6;69715,6666
782254;Never in program;3893276,00;48;81109,9166
1555979;Never in program;213884,00;2;106942,00
674266;Never in program;5708194,00;46;124091,1739
1310042;Never in program;6169003,00;40;154225,075
1682517;Never in program;1002075,00;38;26370,3947
4378548;Never in program;344545,00;5;68909,00
5241259;Never in program;160821,00;2;80410,50
3571780;Never in program;2692346,00;25;107693,84
5507821;Never in program;4048418,00;14;289172,7142
4291255;Never in program;649166,00;5;129833,20
2792606;Never in program;5674669,00;23;246724,7391
3335998;Never in program;10075684,00;34;296343,647
4874816;Never in program;927280,00;12;77273,3333
5141496;Never in program;237934,00;2;118967,00
3316358;Never in program;2171860,00;20;108593,00
1512978;Never in program;3778891,00;17;222287,7058
3242306;Never in program;1189023,00;16;74313,9375
2208485;Never in program;549088,00;8;68636,00
5055813;Never in program;2210848,00;9;245649,7777
2972150;Never in program;227257,00;13;17481,3076
2007565;Never in program;78017,00;2;39008,50
2691815;Never in program;1151322,00;7;164474,5714
210871;Never in program;4383107,00;81;54112,432
5079796;Never in program;536338,00;9;59593,1111
4005967;Never in program;308630,00;13;23740,7692
739761;Never in program;4748864,00;35;135681,8285
3971668;Never in program;611174,00;2;305587,00
522993;Never in program;17332610,00;102;169927,549
3895376;Never in program;2033972,00;6;338995,3333
2143458;Never in program;4368386,00;13;336029,6923
5091408;Never in program;1362647,00;5;272529,40
3275610;Never in program;10453713,00;101;103502,1089
5336924;Never in program;2805866,00;13;215835,8461
1472985;Never in program;298093,00;2;149046,50
4171163;Never in program;27719737,00;131;211601,0458
1155647;Never in program;204793,00;1;204793,00
1709472;Never in program;787848,00;11;71622,5454
1900916;Never in program;2013074,00;9;223674,8888
1397051;Never in program;4905513,00;44;111488,9318
2799028;Never in program;918240,00;19;48328,421
2496316;Never in program;1273652,00;13;97973,2307
243938;Never in program;2017385,00;8;252173,125
48365;Never in program;1859519,00;19;97869,421
2993960;Never in program;362248,00;3;120749,3333
3931470;Never in program;2754478,00;25;110179,12
4752030;Never in program;3972480,00;3;1324160,00
5078836;Never in program;529803,00;14;37843,0714
2908894;Never in program;987675,00;14;70548,2142
2511779;Never in program;1837305,00;32;57415,7812
5126507;Never in program;482531,00;13;37117,7692
589110;Never in program;3049559,00;17;179385,8235
3791442;Never in program;584108,00;4;146027,00
1051734;Never in program;1903933,00;14;135995,2142
201315;Never in program;75701,00;2;37850,50
979726;Never in program;4366207,00;86;50769,8488
5540584;Never in program;3370696,00;18;187260,8888
271677;Never in program;147438,00;1;147438,00
470683;Never in program;5748119,00;58;99105,50
3738208;Never in program;3349698,00;35;95705,6571
571348;Never in program;3053311,00;6;508885,1666
444976;Never in program;9299644,00;48;193742,5833
742753;Never in program;1681157,00;2;840578,50
1680378;Never in program;3222079,00;25;128883,16
1997207;Never in program;7484046,00;49;152735,6326
4693268;Never in program;4157271,00;17;244545,3529
2159353;Never in program;40618478,00;167;243224,4191
2658200;Never in program;2304873,00;36;64024,25
2075365;Never in program;3772861,00;38;99285,8157
2241801;Never in program;1477933,00;3;492644,3333
3701826;Never in program;202924,00;3;67641,3333
4678120;Never in program;12314,00;1;12314,00
3070409;After;2068694,00;26;79565,1538
2247447;Never in program;300916,00;3;100305,3333
5458296;Never in program;274793,00;4;68698,25
5873593;Never in program;624885,00;7;89269,2857
3204555;Never in program;75187,00;2;37593,50
3188837;Never in program;2416557,00;46;52533,8478
2052455;Never in program;615712,00;9;68412,4444
6842440;Never in program;94875,00;1;94875,00
1007052;Never in program;9547852,00;60;159130,8666
4630392;Never in program;2976913,00;14;212636,6428
7158909;After;230561,00;6;38426,8333
4512966;Never in program;1299033,00;59;22017,5084
4902604;Never in program;2181640,00;21;103887,619
4485776;Never in program;2217630,00;29;76470,00
1475355;Never in program;5169665,00;44;117492,3863
2287064;Never in program;92269,00;2;46134,50
4045140;Never in program;3282282,00;26;126241,6153
1126101;Never in program;2558298,00;12;213191,50
1833801;Never in program;2706390,00;50;54127,80
5172837;Never in program;1578421,00;10;157842,10
1672172;Never in program;7347265,00;43;170866,6279
1504492;Never in program;5081576,00;91;55841,4945
3833844;Never in program;321302,00;1;321302,00
4550338;Never in program;1960192,00;46;42612,8695
1010281;Never in program;8107595,00;50;162151,90
5364307;Never in program;1021339,00;3;340446,3333
3405211;Never in program;631635,00;6;105272,50
2591523;Never in program;2741005,00;18;152278,0555
69326;Never in program;106296,00;1;106296,00
3396816;Never in program;528535,00;5;105707,00
2489969;Never in program;3585114,00;34;105444,5294
115688;Never in program;5337908,00;18;296550,4444
10997020;After;813314,00;2;406657,00
216588;Never in program;11146845,00;33;337783,1818
3785281;Never in program;1841411,00;13;141647,00
5212507;Never in program;3697737,00;36;102714,9166
2843112;Never in program;2020389,00;16;126274,3125
4339610;Never in program;1338042,00;62;21581,3225
1945788;Never in program;255593,00;3;85197,6666
3218110;Never in program;5901513,00;47;125564,1063
215800;Never in program;129900,00;39;3330,7692
4744320;Never in program;927188,00;4;231797,00
4179836;Never in program;1200934,00;13;92379,5384
2657483;Never in program;1551248,00;21;73868,9523
2070435;After;3812860,00;30;127095,3333
2345047;Never in program;2199329,00;8;274916,125
1403124;Never in program;3320089,00;17;195299,3529
4157714;Never in program;10121713,00;60;168695,2166
3551981;Never in program;51314448,00;42;1221772,5714
4002401;Never in program;3836528,00;70;54807,5428
5442507;Never in program;20992,00;1;20992,00
2455435;Never in program;388025,00;1;388025,00
3253482;Never in program;4677697,00;87;53766,6321
4637448;Never in program;3512905,00;18;195161,3888
211327;Never in program;19476543,00;354;55018,483
2359322;Never in program;20168240,00;160;126051,50
5533836;Never in program;4422267,00;24;184261,125
245372;Never in program;24587838,00;136;180792,9264
5088801;Never in program;24628,00;1;24628,00
1864140;Never in program;1461454,00;6;243575,6666
3972124;Never in program;218522,00;2;109261,00
3281333;Never in program;17888429,00;31;577046,0967
3241589;Never in program;4091362,00;16;255710,125
5450819;Never in program;398512,00;4;99628,00
1452161;Never in program;6315043,00;2;3157521,50
2759689;Never in program;1114792,00;7;159256,00
1834174;Never in program;111488,00;1;111488,00
1396652;Never in program;7942110,00;49;162083,8775
4766688;Never in program;28760,00;1;28760,00
5448922;Never in program;2037880,00;3;679293,3333
5500235;Never in program;9532458,00;36;264790,50
1911501;Never in program;2875975,00;27;106517,5925
1807462;Never in program;3080550,00;47;65543,617
842834;Never in program;3731658,00;42;88849,00
2874633;Never in program;250397,00;9;27821,8888
2393925;Never in program;795821,00;3;265273,6666
3810805;Never in program;704075,00;11;64006,8181
1985754;Never in program;2591707,00;10;259170,70
2428110;Never in program;2041109,00;8;255138,625
601098;Never in program;4564407,00;16;285275,4375
2010599;Never in program;2154708,00;23;93682,9565
5345569;After;789376,00;6;131562,6666
5501562;Never in program;431050,00;4;107762,50
201320;Never in program;6847013,00;44;155613,9318
419956;Never in program;11401812,00;31;367800,387
1271130;Never in program;962172,00;4;240543,00
6172673;Never in program;1208924,00;6;201487,3333
2397225;Never in program;4679174,00;79;59230,0506
2980756;After;2478388,00;11;225308,00
1063111;Never in program;19573539,00;109;179573,7522
313357;Never in program;6748266,00;133;50738,8421
717075;Never in program;5565696,00;16;347856,00
4902535;After;2127768,00;21;101322,2857
4379227;Never in program;1065828,00;3;355276,00
3819739;Never in program;2309372,00;29;79633,5172
1905316;Never in program;52530175,00;138;380653,442
1419474;Never in program;5406616,00;47;115034,3829
3054842;Never in program;13927017,00;23;605522,4782
319708;Never in program;793504,00;23;34500,1739
2616545;Never in program;1655950,00;2;827975,00
2209290;Never in program;976394,00;14;69742,4285
5554887;Never in program;58152,00;1;58152,00
2895123;Never in program;7629634,00;53;143955,3584
4023759;Never in program;10201604,00;36;283377,8888
2808058;Never in program;1004134,00;9;111570,4444
2871404;Never in program;532891,00;5;106578,20
3323251;Never in program;6231728,00;63;98916,3174
1219050;Never in program;599075,00;13;46082,6923
4402061;Never in program;3498339,00;22;159015,409
806676;Never in program;907702,00;7;129671,7142
1976198;Never in program;2362278,00;2;1181139,00
2240830;Never in program;349834,00;4;87458,50
4909865;Never in program;732188,00;4;183047,00
1780084;Never in program;5070439,00;71;71414,6338
5287515;Never in program;7178748,00;18;398819,3333
